                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.28953,                0.11444,                0.42084,                0.91175,                0.99101,                      1,                  0.995,                 0.9684,                0.99101,                      1,                  0.995,                0.99001,                0.27691,                0.14246,                0.56607,                0.86093,              0.0011882,              0.0011882,              0.0011882
                     43,                0.33387,                0.10395,                0.44181,                0.90401,                0.99667,                      1,                  0.995,                0.96631,                0.99667,                      1,                  0.995,                0.98754,                 0.2971,                0.13604,                0.53952,                0.88953,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.3014,                 0.0925,                0.43091,                0.89087,                0.99639,                      1,                  0.995,                0.98054,                0.99639,                      1,                  0.995,                0.98931,                0.26105,                0.13291,                 0.5312,                0.85657,              0.0011486,              0.0011486,              0.0011486
                     45,                0.32599,                0.12081,                 0.4386,                0.88947,                 0.9966,                      1,                  0.995,                0.97691,                 0.9966,                      1,                  0.995,                0.98895,                 0.2723,                0.16044,                0.46489,                  0.847,              0.0011288,              0.0011288,              0.0011288
                     46,                0.33792,                0.12271,                0.48206,                0.90143,                0.99645,                      1,                  0.995,                0.98725,                0.99645,                      1,                  0.995,                  0.995,                0.23899,                0.11422,                0.47071,                0.81908,               0.001109,               0.001109,               0.001109
                     47,                0.33084,                0.09585,                0.43069,                0.88635,                0.99669,                      1,                  0.995,                0.95816,                0.99669,                      1,                  0.995,                0.97568,                0.29285,                0.26083,                0.48023,                0.85547,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.3117,                0.11688,                  0.418,                0.89271,                0.99617,                      1,                  0.995,                0.98789,                0.99617,                      1,                  0.995,                0.97607,                0.31853,                0.29327,                0.51343,                0.88267,              0.0010694,              0.0010694,              0.0010694
                     49,                0.32413,                0.11468,                0.44676,                0.89819,                0.99622,                      1,                  0.995,                0.96774,                0.99622,                      1,                  0.995,                  0.995,                0.27128,                0.11115,                0.48697,                0.85501,              0.0010496,              0.0010496,              0.0010496
                     50,                0.30722,                0.09694,                0.43857,                0.87811,                0.99505,                      1,                  0.995,                0.97686,                0.99505,                      1,                  0.995,                  0.995,                0.29048,                0.09904,                0.45121,                0.86585,              0.0010298,              0.0010298,              0.0010298
                     51,                0.33273,                0.10488,                0.44062,                0.88694,                0.99629,                      1,                  0.995,                0.96593,                0.99629,                      1,                  0.995,                0.98754,                0.24298,                0.06989,                0.38243,                0.84998,                0.00101,                0.00101,                0.00101
                     52,                0.28678,                0.10757,                0.41296,                0.88943,                0.99667,                      1,                  0.995,                0.98789,                0.99667,                      1,                  0.995,                  0.995,                0.23367,                0.06593,                0.36438,                0.84571,              0.0009902,              0.0009902,              0.0009902
                     53,                0.31329,                0.12327,                0.39759,                0.90136,                0.99664,                      1,                  0.995,                0.97979,                0.99664,                      1,                  0.995,                  0.995,                0.27721,                0.07603,                0.36618,                0.87688,              0.0009704,              0.0009704,              0.0009704
                     54,                  0.308,                0.10528,                0.37258,                0.87581,                0.99647,                      1,                  0.995,                0.96894,                0.99647,                      1,                  0.995,                 0.9642,                0.26352,                0.09796,                0.38989,                  0.857,              0.0009506,              0.0009506,              0.0009506
                     55,                0.31886,                0.16693,                0.39255,                0.88344,                0.99662,                      1,                  0.995,                0.98966,                0.99662,                      1,                  0.995,                  0.995,                0.26195,                0.11464,                0.41381,                0.85363,              0.0009308,              0.0009308,              0.0009308
                     56,                0.30684,                0.10223,                 0.4146,                0.90077,                0.99663,                      1,                  0.995,                 0.9893,                0.99663,                      1,                  0.995,                  0.995,                0.22738,                0.08161,                0.40046,                0.83138,               0.000911,               0.000911,               0.000911
                     57,                0.29335,                0.09103,                0.38443,                0.88588,                0.99692,                      1,                  0.995,                 0.9886,                0.99692,                      1,                  0.995,                 0.9886,                0.21193,                0.10464,                0.35632,                0.81085,              0.0008912,              0.0008912,              0.0008912
                     58,                0.26888,                0.08168,                0.36072,                0.87944,                0.99697,                      1,                  0.995,                0.98825,                0.99697,                      1,                  0.995,                0.98825,                0.18034,                0.10978,                0.32674,                0.79802,              0.0008714,              0.0008714,              0.0008714
                     59,                0.26647,                0.10417,                0.35602,                0.89182,                0.99636,                      1,                  0.995,                 0.9893,                0.99636,                      1,                  0.995,                  0.995,                0.21221,                 0.0678,                0.30071,                0.82342,              0.0008516,              0.0008516,              0.0008516
                     60,                0.26536,                0.08315,                0.34276,                0.86973,                0.99564,                      1,                  0.995,                 0.9893,                0.99564,                      1,                  0.995,                  0.995,                0.22618,                0.06699,                 0.3164,                  0.835,              0.0008318,              0.0008318,              0.0008318
                     61,                0.27669,                0.07739,                0.35013,                0.88293,                0.99678,                      1,                  0.995,                 0.9893,                0.99678,                      1,                  0.995,                  0.995,                0.19237,                0.07014,                0.28628,                0.81242,               0.000812,               0.000812,               0.000812
                     62,                0.24339,                0.08113,                0.32522,                0.88332,                0.99685,                      1,                  0.995,                0.98966,                0.99685,                      1,                  0.995,                  0.995,                0.20887,                0.07149,                 0.2849,                0.81806,              0.0007922,              0.0007922,              0.0007922
                     63,                0.25914,                0.10423,                0.34256,                0.89213,                0.99691,                      1,                  0.995,                0.98966,                0.99691,                      1,                  0.995,                  0.995,                0.19192,                  0.075,                0.29723,                0.80662,              0.0007724,              0.0007724,              0.0007724
                     64,                0.33524,                0.12215,                0.40387,                0.91385,                0.99697,                      1,                  0.995,                 0.9893,                0.99697,                      1,                  0.995,                  0.995,                0.21382,                0.08478,                0.32361,                0.83011,              0.0007526,              0.0007526,              0.0007526
                     65,                0.28497,                0.10437,                0.36263,                0.86966,                0.99697,                      1,                  0.995,                 0.9893,                0.99697,                      1,                  0.995,                  0.995,                0.25034,                0.08495,                0.35106,                0.87499,              0.0007328,              0.0007328,              0.0007328
                     66,                0.24055,                0.10467,                0.31834,                0.86467,                0.99697,                      1,                  0.995,                 0.9886,                0.99697,                      1,                  0.995,                  0.995,                0.25399,                0.07529,                0.35931,                0.86741,               0.000713,               0.000713,               0.000713
                     67,                0.26232,                 0.0883,                0.35027,                 0.8926,                0.99689,                      1,                  0.995,                0.98754,                0.99689,                      1,                  0.995,                  0.995,                0.24004,                0.07757,                0.32089,                0.84592,              0.0006932,              0.0006932,              0.0006932
                     68,                0.29013,                0.10575,                0.33882,                0.88354,                0.99681,                      1,                  0.995,                0.98825,                0.99681,                      1,                  0.995,                  0.995,                0.21861,                0.08216,                 0.2857,                0.83615,              0.0006734,              0.0006734,              0.0006734
                     69,                0.23089,                0.07155,                0.33541,                0.89654,                0.99661,                      1,                  0.995,                0.98895,                0.99661,                      1,                  0.995,                  0.995,                0.22201,                0.08454,                 0.2834,                0.82891,              0.0006536,              0.0006536,              0.0006536
                     70,                0.27355,                0.09465,                 0.3264,                0.88245,                0.99663,                      1,                  0.995,                0.99001,                0.99663,                      1,                  0.995,                  0.995,                0.23306,                 0.0802,                 0.2877,                0.84553,              0.0006338,              0.0006338,              0.0006338
                     71,                0.28222,                0.09483,                 0.3415,                0.89056,                0.99694,                      1,                  0.995,                0.98895,                0.99694,                      1,                  0.995,                  0.995,                0.23586,                0.07378,                0.25946,                0.84412,               0.000614,               0.000614,               0.000614
                     72,                0.25961,                0.10117,                0.32664,                0.87513,                0.99703,                      1,                  0.995,                0.97829,                0.99703,                      1,                  0.995,                  0.995,                0.20324,                0.07196,                0.25975,                0.82089,              0.0005942,              0.0005942,              0.0005942
                     73,                0.25494,                0.06466,                0.33075,                0.89282,                0.99698,                      1,                  0.995,                0.98931,                0.99698,                      1,                  0.995,                  0.995,                0.18841,                0.07136,                0.24954,                0.80603,              0.0005744,              0.0005744,              0.0005744
                     74,                0.24003,                 0.1001,                0.32947,                0.86843,                0.99704,                      1,                  0.995,                0.98754,                0.99704,                      1,                  0.995,                  0.995,                0.18009,                0.07192,                0.26346,                0.79543,              0.0005546,              0.0005546,              0.0005546
                     75,                0.24789,                0.14797,                0.29304,                0.88705,                0.99703,                      1,                  0.995,                0.98825,                0.99703,                      1,                  0.995,                  0.995,                0.17824,                 0.0801,                0.27101,                0.80852,              0.0005348,              0.0005348,              0.0005348
                     76,                0.21357,                0.07451,                0.28067,                0.85384,                  0.997,                      1,                  0.995,                0.98931,                  0.997,                      1,                  0.995,                  0.995,                0.17083,                0.07753,                 0.2611,                0.80277,               0.000515,               0.000515,               0.000515
                     77,                0.21113,                0.08104,                0.26991,                 0.8535,                0.99706,                      1,                  0.995,                0.98754,                0.99706,                      1,                  0.995,                  0.995,                0.15651,                0.07095,                0.23657,                0.79058,              0.0004952,              0.0004952,              0.0004952
                     78,                0.20896,                 0.0703,                0.26989,                0.86959,                0.99704,                      1,                  0.995,                0.98931,                0.99704,                      1,                  0.995,                  0.995,                0.15669,                0.06851,                0.22735,                0.78971,              0.0004754,              0.0004754,              0.0004754
                     79,                0.25788,                0.14599,                0.32566,                0.88814,                0.99709,                      1,                  0.995,                0.98966,                0.99709,                      1,                  0.995,                  0.995,                0.17545,                0.07223,                0.22518,                0.79188,              0.0004556,              0.0004556,              0.0004556
