                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 2.0381,                0.96576,                0.82764,                0.63892,                0.46535,                0.54654,                0.21912,                  1.845,                 1.0136,                0.78227,               0.000713,               0.000713,               0.000713
                     67,                 2.1043,                0.99633,                0.83462,                 0.7587,                0.57426,                0.66665,                0.27658,                 1.8538,                0.87253,                0.78586,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.1541,                 1.0499,                 0.8218,                0.58396,                0.45545,                0.51805,                0.21726,                 1.8803,                0.94606,                0.78929,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.0558,                0.87985,                0.83292,                0.68686,                0.49953,                 0.5868,                0.22253,                 2.1099,                 1.0101,                0.79254,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.0726,                0.98876,                0.82921,                0.53755,                0.46039,                0.48453,                0.19953,                 1.9506,                 1.0382,                0.79345,              0.0006338,              0.0006338,              0.0006338
                     71,                  2.067,                 0.9767,                0.84378,                0.62904,                0.52049,                0.55722,                0.22275,                 1.9024,                0.96041,                0.79108,               0.000614,               0.000614,               0.000614
                     72,                 2.0806,                 1.0125,                0.83227,                0.50805,                0.41584,                0.40413,                0.15894,                 2.0406,                 1.1194,                0.79392,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.0432,                0.92769,                0.85192,                0.52148,                0.43564,                0.45728,                0.16728,                 1.8172,                 1.0978,                0.78832,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.1152,                0.90107,                0.83444,                0.64975,                0.42574,                0.49861,                0.18535,                 2.1381,                 1.0792,                0.78675,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.0611,                0.84604,                0.83008,                0.71938,                0.45545,                0.58768,                0.20818,                 2.0894,                 1.0332,                0.78882,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.1026,                0.93608,                0.83843,                0.75803,                0.55835,                0.63077,                0.26029,                 1.9636,                0.89733,                0.79001,               0.000515,               0.000515,               0.000515
                     77,                 2.0919,                0.88801,                0.82809,                0.63178,                0.42574,                0.50642,                0.17585,                 2.0532,                 1.0339,                0.78955,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.0807,                0.93435,                0.85254,                0.63535,                0.52475,                 0.5823,                0.23873,                 1.9073,                0.85393,                0.78315,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.0148,                0.93596,                0.83112,                0.56219,                0.46535,                0.50514,                0.21218,                  1.843,                0.90861,                0.78383,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.0947,                0.96697,                0.83508,                0.63492,                0.46492,                0.54192,                0.22663,                  1.849,                0.87678,                0.78261,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.0068,                 0.9341,                0.81335,                0.64003,                0.45545,                0.56166,                0.23792,                 1.8136,                0.89458,                0.78262,               0.000416,               0.000416,               0.000416
                     82,                 2.0293,                0.90234,                0.83586,                0.70557,                0.47454,                0.60921,                0.24448,                 1.7705,                0.85354,                0.78461,              0.0003962,              0.0003962,              0.0003962
